text,category
Не можу увійти в акаунт,Авторизація
Забув пароль від особистого кабінету,Авторизація
Система не приймає логін і пароль,Авторизація
Не приходить код підтвердження для входу,Авторизація
Потрібно відновити доступ до профілю,Авторизація
Не відкривається сторінка входу,Авторизація
Помилка авторизації після введення логіна,Авторизація
Не можу зайти в особистий кабінет,Авторизація
Проблема з входом у систему,Авторизація
Не працює двофакторна авторизація,Авторизація
Мій акаунт заблоковано,Авторизація
Після реєстрації не можу увійти,Авторизація
Посилання для відновлення пароля не працює,Авторизація
Не приходить лист для відновлення доступу,Авторизація
Потрібно змінити пароль,Авторизація
Не можу підтвердити email для входу,Авторизація
Вхід у кабінет недоступний,Авторизація
Система пише що пароль неправильний,Авторизація
Не можу скинути пароль,Авторизація
Акаунт не відкривається після реєстрації,Авторизація
Проблема з підтвердженням входу,Авторизація
Не можу авторизуватися через email,Авторизація
Після введення пароля сторінка повертає на логін,Авторизація
Не працює вхід через обліковий запис,Авторизація
Система не розпізнає мій акаунт,Авторизація
Не можу змінити дані для входу,Авторизація
Потрібна допомога з відновленням акаунта,Авторизація
Не працює форма входу,Авторизація
Після виходу не можу зайти знову,Авторизація
Логін недоступний після оновлення пароля,Авторизація
Гроші списались але замовлення не створилось,Оплата
Не проходить платіж карткою,Оплата
Картка відхиляється під час оплати,Оплата
Платіж не був зарахований,Оплата
Оплата пройшла але послуга не активувалась,Оплата
Проблема з рахунком,Оплата
Не можу оплатити замовлення,Оплата
Помилка при оплаті,Оплата
Повернення коштів не надійшло,Оплата
Списались кошти двічі,Оплата
Оплата зависла на етапі підтвердження,Оплата
Банк списав гроші але система не бачить оплату,Оплата
Платіж пройшов але рахунок не оновився,Оплата
Потрібно повернути кошти,Оплата
Не можу додати картку для оплати,Оплата
Система відхиляє оплату,Оплата
Платіж був скасований,Оплата
Не отримав чек після оплати,Оплата
Проблема з виставленим рахунком,Оплата
Неправильна сума у рахунку,Оплата
Замовлення оплачено але не відображається,Оплата
Оплата не підтверджується,Оплата
Виникла помилка банківської операції,Оплата
Потрібна інформація щодо повернення коштів,Оплата
Не можу завершити оплату онлайн,Оплата
Платіжна сторінка повертає помилку,Оплата
Після оплати статус замовлення не змінився,Оплата
Не працює промокод під час оплати,Оплата
Сума списання більша ніж у замовленні,Оплата
Проблема з оплатою через банк,Оплата
На сайті виникає помилка 500,Технічна помилка
Сайт не відкривається,Технічна помилка
Не працює кнопка збереження,Технічна помилка
Сторінка зависає після відкриття,Технічна помилка
Сервер не відповідає,Технічна помилка
Помилка завантаження сторінки,Технічна помилка
Форма не відправляється,Технічна помилка
Не працює функція пошуку,Технічна помилка
Виникає технічна помилка,Технічна помилка
Дані не зберігаються,Технічна помилка
Сайт показує білу сторінку,Технічна помилка
Після натискання кнопки нічого не відбувається,Технічна помилка
Сторінка працює дуже повільно,Технічна помилка
Не завантажується форма,Технічна помилка
Сайт видає помилку сервера,Технічна помилка
Не працює мобільна версія сайту,Технічна помилка
Додаток зависає,Технічна помилка
Не відображаються дані на сторінці,Технічна помилка
Після оновлення сторінки дані зникають,Технічна помилка
Файл не завантажується,Технічна помилка
Виникає помилка під час збереження,Технічна помилка
Сторінка недоступна,Технічна помилка
Помилка підключення до сервера,Технічна помилка
Не працює пошук на сайті,Технічна помилка
Кнопка відправки форми не реагує,Технічна помилка
Система показує невідому помилку,Технічна помилка
Не відкривається розділ профілю,Технічна помилка
Після завантаження сторінка ламається,Технічна помилка
Не працює завантаження зображень,Технічна помилка
Помилка при відкритті особистого кабінету,Технічна помилка
Підкажіть як змінити налаштування профілю,Консультація
Як користуватись сервісом,Консультація
Де знайти історію замовлень,Консультація
Потрібна консультація щодо роботи сервісу,Консультація
Як змінити електронну пошту,Консультація
Поясніть як оформити замовлення,Консультація
Як переглянути інформацію про акаунт,Консультація
Потрібна допомога з налаштуваннями,Консультація
Як отримати додаткову інформацію,Консультація
Питання щодо функцій сервісу,Консультація
Поясніть умови використання сервісу,Консультація
Як налаштувати профіль користувача,Консультація
Де знайти інформацію про тарифи,Консультація
Як переглянути мої замовлення,Консультація
Потрібна консультація менеджера,Консультація
Як змінити контактні дані,Консультація
Поясніть як працює особистий кабінет,Консультація
Де знайти інструкцію,Консультація
Як отримати допомогу спеціаліста,Консультація
Потрібно уточнити деталі послуги,Консультація
Як підключити додаткову функцію,Консультація
Поясніть порядок оформлення заявки,Консультація
Як зв'язатися з менеджером,Консультація
Де знайти налаштування акаунта,Консультація
Потрібна інформація про роботу сервісу,Консультація
Як переглянути статус звернення,Консультація
Поясніть різницю між тарифами,Консультація
Як змінити дані компанії,Консультація
Де знайти розділ підтримки,Консультація
Потрібна допомога з вибором послуги,Консультація
Хочу залишити відгук,Інше
Маю загальне питання,Інше
Пропозиція щодо покращення сервісу,Інше
Питання не стосується роботи системи,Інше
Хочу повідомити загальну інформацію,Інше
Звернення до адміністрації,Інше
Загальний коментар,Інше
Інша проблема,Інше
Не знаю до якого розділу звернутись,Інше
Повідомлення без конкретної теми,Інше
Хочу подякувати за сервіс,Інше
Є пропозиція щодо покращення роботи,Інше
Залишаю загальний відгук,Інше
Немає конкретної проблеми,Інше
Хочу передати повідомлення адміністрації,Інше
Коментар щодо якості сервісу,Інше
Загальне звернення без категорії,Інше
Побажання щодо розвитку сервісу,Інше
Повідомлення інформаційного характеру,Інше
Хочу залишити пропозицію,Інше
Маю зауваження щодо роботи компанії,Інше
Звернення без уточнення проблеми,Інше
Не знаю яку тему обрати,Інше
Просто хочу залишити коментар,Інше
Повідомлення для адміністрації,Інше
Дякую за швидку відповідь,Інше
Хочу залишити побажання,Інше
Коментар без проблеми,Інше
Загальне повідомлення для підтримки,Інше
Інформація для адміністратора,Інше
